explainer,GraphEditDistance,FeatureEditDistance,Correctness,OracleCalls
DCES-Dummy,244.53446261851738,463.39143524562934,1.0,720.5
DCES-LocalSearch,5.995277078398276,340.5594791687362,1.0,4403.357945798031
DCES-Random,101.75200612296202,393.48033476717336,1.0,4696.374299719888
OFS-Dummy,233.2180044737421,6.2344671811104e-08,0.6906085593750402,513.7854336053849
OFS-LocalSearch,7.804499345801678,333.9086170333533,0.6838340838505645,2508.9038738702347
OFS-Random,22.498162660150445,37.82789877755435,0.6805815585980393,3234.461814297293
RSGG-Dummy,48.718350872818206,595.567096977597,0.7374842762601385,159.64727732994976
RSGG-LocalSearch,15.765349084710783,468.29934678214175,0.7365448823207443,3009.9622029846423
RSGG-Random,34.546897658206845,520.2194415386354,0.7379842762601385,2210.3735628656896
