,scope,dataset,oracle,explainer,Runtime,Runtime-std,GraphEditDistance,GraphEditDistance-std,Correctness,Correctness-std,OracleCalls,OracleCalls-std,OracleAccuracy,OracleAccuracy-std,Sparsity,Sparsity-std,Fidelity,Fidelity-std
0,meta,IMDB-BINARY-3fcfb2d32433841064a43599dd908a5b,OracleTorch-cdb47ad283f8190a0dece30559f3a9be,GenerateMinimize(OFS-Dummy),1.4290860799057317,0.09232151110157379,156.57246079081764,23.811967297435263,0.3874141414141414,0.027232225818846843,743.8923535353535,47.04652502065189,0.7317777777777777,0.033986925590749034,0.6427733006703897,0.06656512344912813,0.3874141414141414,0.027232225818846843
1,meta,IMDB-BINARY-3fcfb2d32433841064a43599dd908a5b,OracleTorch-0d535b3587e1a6a7519c750b8ce40e8d,GenerateMinimize(OFS-LocalSearch),306.26823628425353,177.65148975368604,6.986946996093337,3.2501470762510634,0.42549494949494954,0.033339889162479104,2438.618878787879,921.3148859428023,0.7198080808080808,0.03749381338621863,0.027793104357727444,0.0045310320159727534,0.42549494949494954,0.033339889162479104
2,meta,IMDB-BINARY-3fcfb2d32433841064a43599dd908a5b,OracleTorch-0d535b3587e1a6a7519c750b8ce40e8d,GenerateMinimize(OFS-Random),276.290271552529,171.736154497934,13.243170426065163,4.696455385045828,0.3514444444444444,0.039368628232247155,2384.4345656565656,162.8741168756135,0.7198080808080808,0.03749381338621863,0.052750244078481966,0.007936604353094252,0.3514444444444444,0.039368628232247155
3,meta,TreeCyclesRand-ee2528a3ceb73630a4414f631721445d,TreeCyclesOracle-9474e8bb8a82224397c89387d95dcf48,GenerateMinimize(OFS-LocalSearch),10.639289123535155,1.2018162126399288,1.8811666484709595,0.08190753735128843,0.834,0.035832945734337825,2975.584,243.91653880784716,1.0,0.0,0.009762455380803992,0.00042070532476113417,0.834,0.035832945734337825
4,meta,TreeCyclesRand-ee2528a3ceb73630a4414f631721445d,TreeCyclesOracle-9474e8bb8a82224397c89387d95dcf48,GenerateMinimize(DCESExplainer-Random),14.34229807806015,0.6483084139556287,2.0980000000000003,0.08506468127254704,1.0,0.0,4507.0,0.0,1.0,0.0,0.010879712299589535,0.0004367301407464281,1.0,0.0
5,meta,TreeCyclesRand-ee2528a3ceb73630a4414f631721445d,TreeCyclesOracle-9474e8bb8a82224397c89387d95dcf48,GenerateMinimize(OFS-Random),11.930820395946503,0.8918590780208753,1.8719901494901496,0.09425960045131333,0.8020000000000002,0.03399999999999998,3851.774,76.8350873234358,1.0,0.0,0.009714002286487364,0.00048355632480883424,0.8020000000000002,0.03399999999999998
6,meta,TreeCyclesRand-ee2528a3ceb73630a4414f631721445d,TreeCyclesOracle-9474e8bb8a82224397c89387d95dcf48,GenerateMinimize(DCESExplainer-LocalSearch),19.87273536109924,1.8952700471012143,2.098,0.08506468127254703,1.0,0.0,5879.072,470.2928471665287,1.0,0.0,0.010879712299589533,0.0004367301407464281,1.0,0.0
7,meta,BBBP-45d52d50b8c8311c3e06f5ea875eda96,OracleTorch-6144ee8893f4f1af859b6c406ac1a458,GenerateMinimize(OFS-Dummy),2.975782133339339,0.21910241073184927,49.10505723392272,6.751557962513045,0.3452525837921375,0.024037307814531554,1254.8509441707715,54.993455294119194,0.9166352747995751,0.010682605917143794,0.3397535892851074,0.045729498150381805,0.3452525837921375,0.024037307814531554
8,meta,BBBP-45d52d50b8c8311c3e06f5ea875eda96,OracleTorch-6144ee8893f4f1af859b6c406ac1a458,GenerateMinimize(OFS-Random),74.6247410885386,55.886194360581705,3.026354631891844,0.26910939979976867,0.19666763257026948,0.011317082840710114,2607.4522553849124,70.146756649959,0.9166352747995749,0.010682605917143796,0.019882493306796513,0.0016914757684500673,0.19666763257026948,0.011317082840710114
9,meta,BBBP-45d52d50b8c8311c3e06f5ea875eda96,OracleTorch-6144ee8893f4f1af859b6c406ac1a458,GenerateMinimize(OFS-LocalSearch),78.56359310095797,50.82950052209389,2.089077723825903,0.266358040041969,0.260917125470878,0.013570681153675017,1938.9812035158895,110.56853726203519,0.9166352747995751,0.010682605917143794,0.01389780637735569,0.0015470605552043686,0.260917125470878,0.013570681153675017
10,meta,BBBP-45d52d50b8c8311c3e06f5ea875eda96,OracleTorch-6144ee8893f4f1af859b6c406ac1a458,GenerateMinimize(RSGG-LocalSearch),45.33070502788919,6.3063043687473055,2.361588665900366,0.26063268481171875,0.4542137544673041,0.2082530174795763,912.3961653626968,347.3726763546573,0.9166352747995749,0.010682605917143796,0.015788429361201256,0.001825984558111882,0.33944508838017967,0.17844716106788214
11,meta,ASD-15273954d84e872cf0b021cd4477bfdc,ASDOracle-9e4f3586dc330143b7849fc540b25739,GenerateMinimize(OFS-Random),1.26137019070712,0.17888940163121422,10.881746031746031,2.85264557318079,0.7736363636363637,0.1047981136667029,3299.239090909091,462.2349885739758,0.7736363636363637,0.1047981136667029,0.024540489804816525,0.006486324044168634,0.7736363636363637,0.1047981136667029
12,meta,ASD-15273954d84e872cf0b021cd4477bfdc,ASDOracle-9e4f3586dc330143b7849fc540b25739,GenerateMinimize(DCESExplainer-LocalSearch),17.361274943135,7.795926648128618,9.066363636363636,2.825436556629292,1.0,0.0,24849.434545454544,10257.85814823377,0.7736363636363636,0.10479811366670289,0.02044260766787944,0.0064107741933551576,0.5472727272727272,0.20959622733340574
13,meta,ASD-15273954d84e872cf0b021cd4477bfdc,ASDOracle-9e4f3586dc330143b7849fc540b25739,GenerateMinimize(DCESExplainer-Random),1.6348558620973068,0.22166621588016816,9.497272727272726,2.8647185545344964,1.0,0.0,3908.0,600.0,0.7736363636363637,0.1047981136667029,0.021414052275235164,0.006513334053800968,0.5472727272727272,0.20959622733340574
14,meta,ASD-15273954d84e872cf0b021cd4477bfdc,ASDOracle-9e4f3586dc330143b7849fc540b25739,GenerateMinimize(OFS-LocalSearch),18.93779376311736,7.801274149192221,10.507539682539683,3.2279726232165955,0.7736363636363637,0.10479811366670289,27189.52,10571.308635244743,0.7736363636363637,0.10479811366670289,0.023699059414467937,0.0073372835936743085,0.7736363636363637,0.10479811366670289
